"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"794","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2000","600 to 700","Jul-2016"
"795","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","5","4300","2300 to 2400","Jul-2016"
"796","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Jul-2016"
"797","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3100","1100 to 1200","Jul-2016"
"798","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Jul-2016"
"799","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3100","1100 to 1200","Jun-2016"
"800","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","Jun-2016"
"801","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jun-2016"
"802","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Jun-2016"
"803","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Jun-2016"
"804","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Jun-2016"
"805","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Jun-2016"
"806","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3200","1100 to 1200","Jun-2016"
"807","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3200","1100 to 1200","Jun-2016"
"808","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Jun-2016"
"809","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","1","2100","600 to 700","Jun-2016"
"810","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2500","1100 to 1200","Jun-2016"
"811","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3150","1100 to 1200","Jun-2016"
"812","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Jun-2016"
"813","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3400","1100 to 1200","Jun-2016"
"814","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3100","1100 to 1200","Jun-2016"
"815","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","900 to 1000","Jun-2016"
"816","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Jun-2016"
"817","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","900 to 1000","Jun-2016"
"818","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Jun-2016"
"819","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3150","1100 to 1200","Jun-2016"
"820","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2400","900 to 1000","May-2016"
"821","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","3000","900 to 1000","May-2016"
"822","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","May-2016"
"823","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2750","900 to 1000","May-2016"
"824","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","900 to 1000","May-2016"
"825","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","1100 to 1200","May-2016"
"826","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","May-2016"
"827","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","900 to 1000","May-2016"
"828","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","May-2016"
"829","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","May-2016"
"830","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","May-2016"
"831","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","May-2016"
"832","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","May-2016"
"833","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","May-2016"
"834","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","May-2016"
"835","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3200","1100 to 1200","Apr-2016"
"836","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2850","1100 to 1200","Apr-2016"
"837","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2550","900 to 1000","Apr-2016"
"838","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Apr-2016"
"839","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3500","1100 to 1200","Apr-2016"
"840","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3100","1100 to 1200","Apr-2016"
"841","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Apr-2016"
"842","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","4","4250","1800 to 1900","Apr-2016"
"843","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3100","1100 to 1200","Apr-2016"
"844","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Apr-2016"
"845","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2550","900 to 1000","Apr-2016"
"846","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2500","900 to 1000","Apr-2016"
"847","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","900 to 1000","Apr-2016"
"848","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2900","1100 to 1200","Apr-2016"
"849","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3100","1100 to 1200","Mar-2016"
"850","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2700","900 to 1000","Mar-2016"
"851","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2800","900 to 1000","Mar-2016"
"852","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2900","900 to 1000","Mar-2016"
"853","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Mar-2016"
"854","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3000","1100 to 1200","Mar-2016"
"855","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","2","2600","900 to 1000","Mar-2016"
"856","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3200","1100 to 1200","Mar-2016"
"857","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","2800","1100 to 1200","Mar-2016"
"858","EASTPOINT GREEN","SIMEI STREET 3","18","Non-landed Properties","3","3100","1100 to 1200","Mar-2016"
